[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 24, num timesteps 49152, FPS 509, time 96.47 seconds rewards: 506.2076617332902 826.0802392886684 std: 53.1867994336813 168.65171416792526 tensor([0.6000, 0.4000])
[RL] Updates 25, num timesteps 51200, FPS 509, time 100.40 seconds rewards: 526.9455112467572 997.4398870426969 std: 105.13053717566643 193.01464760110383 tensor([0.6000, 0.4000])
[RL] Updates 26, num timesteps 53248, FPS 510, time 104.35 seconds rewards: 500.1600412691162 1238.289275017822 std: 96.29240156956423 68.76244762971633 tensor([0.6000, 0.4000])
[RL] Updates 27, num timesteps 55296, FPS 510, time 108.22 seconds rewards: 398.4109335030434 1122.9231728092543 std: 148.85973652949036 295.5065720119513 tensor([0.6000, 0.4000])
[RL] Updates 28, num timesteps 57344, FPS 511, time 112.19 seconds rewards: 291.2891957360508 950.3827367652241 std: 173.51767930915892 357.2241891246091 tensor([0.6000, 0.4000])
[RL] Updates 29, num timesteps 59392, FPS 511, time 116.12 seconds rewards: 377.1337227412735 1132.7836358999898 std: 135.6128334156625 259.58971329361833 tensor([0.6000, 0.4000])
[RL] Updates 30, num timesteps 61440, FPS 512, time 119.99 seconds rewards: 454.8365472119555 1214.8640420482147 std: 78.88901179013912 175.40797424417326 tensor([0.6000, 0.4000])
[RL] Updates 31, num timesteps 63488, FPS 512, time 123.95 seconds rewards: 444.73722348039536 1251.6663448014328 std: 116.47873384599902 219.3091312697439 tensor([0.6000, 0.4000])
[RL] Updates 32, num timesteps 65536, FPS 512, time 127.85 seconds rewards: 438.1119877974564 1276.6877366745998 std: 111.92520386549347 210.69422543371343 tensor([0.6000, 0.4000])
[RL] Updates 33, num timesteps 67584, FPS 512, time 131.78 seconds rewards: 484.3441677760899 1370.289532466052 std: 9.95746617854665 17.111984625687146 tensor([0.6000, 0.4000])
[RL] Updates 34, num timesteps 69632, FPS 513, time 135.72 seconds rewards: 481.5021895542962 1398.920970434288 std: 14.173932991235118 17.922314882331982 tensor([0.6000, 0.4000])
[RL] Updates 35, num timesteps 71680, FPS 513, time 139.59 seconds rewards: 498.3288023031567 1455.8552655712788 std: 23.98314458389177 21.239559516042313 tensor([0.6000, 0.4000])
[RL] Updates 36, num timesteps 73728, FPS 513, time 143.57 seconds rewards: 491.2788928077942 1486.1095094813998 std: 11.703508022169228 13.331582595105303 tensor([0.6000, 0.4000])
[RL] Updates 37, num timesteps 75776, FPS 513, time 147.51 seconds rewards: 494.0008232932497 1553.7110273688038 std: 8.776152919585048 17.154723873844464 tensor([0.6000, 0.4000])
[RL] Updates 38, num timesteps 77824, FPS 514, time 151.40 seconds rewards: 492.36630067010617 1606.672649884515 std: 9.29217297542819 17.292691961098782 tensor([0.6000, 0.4000])
[RL] Updates 39, num timesteps 79872, FPS 514, time 155.33 seconds rewards: 503.68287555836224 1649.1259710404925 std: 10.511589440048802 18.85872943779811 tensor([0.6000, 0.4000])
[RL] Updates 40, num timesteps 81920, FPS 514, time 159.29 seconds rewards: 496.9727972039371 1698.895731866262 std: 9.028532353877823 22.554294359542244 tensor([0.6000, 0.4000])
[RL] Updates 41, num timesteps 83968, FPS 514, time 163.20 seconds rewards: 503.5748592624126 1748.5453628049752 std: 12.961737666537935 14.914313789987586 tensor([0.6000, 0.4000])
[RL] Updates 42, num timesteps 86016, FPS 514, time 167.17 seconds rewards: 502.3005610165075 1796.7475831569063 std: 9.812349173544076 8.064006100412552 tensor([0.6000, 0.4000])
[RL] Updates 43, num timesteps 88064, FPS 514, time 171.05 seconds rewards: 504.24014706564975 1842.7801081205587 std: 8.192192415093285 14.279041217940316 tensor([0.6000, 0.4000])
[RL] Updates 44, num timesteps 90112, FPS 514, time 174.99 seconds rewards: 510.29145410825856 1886.9362182721204 std: 12.898911417911393 16.91235557708564 tensor([0.6000, 0.4000])
[RL] Updates 45, num timesteps 92160, FPS 514, time 178.97 seconds rewards: 517.8001366301735 1925.5627483573 std: 7.925818123090389 10.514302036439013 tensor([0.6000, 0.4000])
[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
4000 True 1.0
0 4000
[RL] Updates 1, num timesteps 2048, FPS 351, time 5.83 seconds rewards: 21.766949585419532 88.82203564083198 std: 16.862911995645423 28.83089205062884 tensor([0.2000, 0.8000])
[RL] Updates 2, num timesteps 4096, FPS 415, time 9.85 seconds rewards: 32.327955254252416 112.77794604357 std: 19.266538530775822 48.122566468150964 tensor([0.2000, 0.8000])
[RL] Updates 3, num timesteps 6144, FPS 445, time 13.79 seconds rewards: 49.47843625576066 207.47917118040874 std: 33.58532207125602 79.82715878590798 tensor([0.2000, 0.8000])
[RL] Updates 4, num timesteps 8192, FPS 461, time 17.75 seconds rewards: 83.8688846315448 268.31590339750426 std: 76.27249838395 102.24149544822957 tensor([0.2000, 0.8000])
[RL] Updates 5, num timesteps 10240, FPS 473, time 21.63 seconds rewards: 92.91713554272009 297.1842610939679 std: 113.40473600701998 97.54962784238128 tensor([0.2000, 0.8000])
[RL] Updates 6, num timesteps 12288, FPS 480, time 25.59 seconds rewards: 132.44604433849105 406.92745792287917 std: 134.3601029495491 177.26271695297618 tensor([0.2000, 0.8000])
[RL] Updates 7, num timesteps 14336, FPS 485, time 29.54 seconds rewards: 170.29469265150752 380.64389833704865 std: 89.82129432524243 108.44204666708225 tensor([0.2000, 0.8000])
[RL] Updates 8, num timesteps 16384, FPS 490, time 33.42 seconds rewards: 284.3344920744591 559.3084709311353 std: 146.35712003243324 165.51247405123098 tensor([0.2000, 0.8000])
[RL] Updates 9, num timesteps 18432, FPS 493, time 37.37 seconds rewards: 273.92842135136476 491.3447177322673 std: 120.50882804372482 201.54692787521972 tensor([0.2000, 0.8000])
[RL] Updates 10, num timesteps 20480, FPS 495, time 41.32 seconds rewards: 370.09739769567483 628.6690825229113 std: 115.11344197123479 273.0242730463331 tensor([0.2000, 0.8000])
[RL] Updates 11, num timesteps 22528, FPS 498, time 45.21 seconds rewards: 261.4764268838388 369.99166062458784 std: 66.53344910715502 51.73706302807652 tensor([0.2000, 0.8000])
[RL] Updates 12, num timesteps 24576, FPS 499, time 49.18 seconds rewards: 295.6512334776126 437.2561696066914 std: 76.07893244215319 89.15081594289163 tensor([0.2000, 0.8000])
