[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
300 True 1
0 300
[RL] Updates 41, num timesteps 83968, FPS 535, time 156.78 seconds rewards: 1118.3650187184323 121.57091169354055 std: 158.6847302820592 140.6415894162624 tensor([0.8000, 0.2000])
[RL] Updates 42, num timesteps 86016, FPS 535, time 160.56 seconds rewards: 936.05361607343 66.90291226347881 std: 341.35733626143093 146.12887953817275 tensor([0.8000, 0.2000])
[RL] Updates 43, num timesteps 88064, FPS 536, time 164.28 seconds rewards: 1058.7357142964686 63.21595055857982 std: 254.1716401858794 111.5377010911573 tensor([0.8000, 0.2000])
[RL] Updates 44, num timesteps 90112, FPS 536, time 168.05 seconds rewards: 1277.5964341007107 154.90447116881913 std: 175.15723591443103 80.25816478648903 tensor([0.8000, 0.2000])
[RL] Updates 45, num timesteps 92160, FPS 536, time 171.84 seconds rewards: 1088.142424143652 146.09325939012837 std: 285.51684059793376 104.40707910493578 tensor([0.8000, 0.2000])
[96m 
------------------------------- Warm-up Stage ------------------------------- [0m
300 True 1
0 300
[RL] Updates 1, num timesteps 2048, FPS 350, time 5.84 seconds rewards: 49.49023326551898 -118.33269313368949 std: 164.97849037284897 29.340768188417638 tensor([0.2000, 0.8000])
[RL] Updates 2, num timesteps 4096, FPS 426, time 9.60 seconds rewards: 36.86372760706398 -109.0689407612975 std: 153.8359570738 47.253327071615004 tensor([0.2000, 0.8000])
[RL] Updates 3, num timesteps 6144, FPS 459, time 13.37 seconds rewards: 197.25925984866626 -82.63772416579268 std: 96.35358479716785 89.38127042456465 tensor([0.2000, 0.8000])
[RL] Updates 4, num timesteps 8192, FPS 475, time 17.22 seconds rewards: 233.37775626300999 -180.0064965125916 std: 167.4416755108781 120.56484710533185 tensor([0.2000, 0.8000])
[RL] Updates 5, num timesteps 10240, FPS 487, time 21.00 seconds rewards: 232.15622417634773 -96.28418942983453 std: 158.56911752746555 144.52851589345684 tensor([0.2000, 0.8000])
[RL] Updates 6, num timesteps 12288, FPS 494, time 24.84 seconds rewards: 193.76886070661334 -40.4243786763325 std: 108.2738458010834 102.7769119722865 tensor([0.2000, 0.8000])
[RL] Updates 7, num timesteps 14336, FPS 500, time 28.64 seconds rewards: 259.20537362276235 -38.17851459265913 std: 103.20124691511114 114.96939426197527 tensor([0.2000, 0.8000])
[RL] Updates 8, num timesteps 16384, FPS 505, time 32.41 seconds rewards: 158.62712774137822 104.73713276004744 std: 106.62152566697137 87.45761902918441 tensor([0.2000, 0.8000])
[RL] Updates 9, num timesteps 18432, FPS 509, time 36.21 seconds rewards: 184.6005402112406 65.12000255450741 std: 101.39999483243182 54.45181571212481 tensor([0.2000, 0.8000])
[RL] Updates 10, num timesteps 20480, FPS 511, time 40.01 seconds rewards: 97.08141058059468 125.49372315912714 std: 98.66028109772935 81.61430127001226 tensor([0.2000, 0.8000])
[RL] Updates 11, num timesteps 22528, FPS 514, time 43.77 seconds rewards: 119.91449560221733 161.2893370484083 std: 113.53004107393454 84.0501716216336 tensor([0.2000, 0.8000])
[RL] Updates 12, num timesteps 24576, FPS 516, time 47.62 seconds rewards: 62.9317920518853 157.58021925738083 std: 98.6906037412137 66.60847340025201 tensor([0.2000, 0.8000])
[RL] Updates 13, num timesteps 26624, FPS 517, time 51.43 seconds rewards: 131.37072255524794 243.18539518406175 std: 131.00588242489252 161.27502115362708 tensor([0.2000, 0.8000])
[RL] Updates 14, num timesteps 28672, FPS 519, time 55.14 seconds rewards: 98.31969673372726 234.0934996182582 std: 66.03330646066661 93.92468186820157 tensor([0.2000, 0.8000])
[RL] Updates 15, num timesteps 30720, FPS 521, time 58.94 seconds rewards: 163.30403037632917 300.7813775447997 std: 136.59043747194767 137.8217608058305 tensor([0.2000, 0.8000])
[RL] Updates 16, num timesteps 32768, FPS 522, time 62.67 seconds rewards: 288.9806510267823 516.9782908043683 std: 183.80938808100504 253.15400386694293 tensor([0.2000, 0.8000])
